[2024-07-05 17:40:25] H5 extends#WebView ----- Class Name = [com/onesignal/inAppMessages/internal/display/impl/OSWebView], extends class.
[2024-07-05 17:40:26] Http HttpURLConnection ----- Class Name = [com/onesignal/notifications/internal/display/impl/NotificationDisplayBuilder], Method Name = [getBitmapFromURL], replace method = [openConnection]
[2024-07-05 17:40:26] Bitmap ----- Class Name = [com/onesignal/notifications/internal/display/impl/NotificationDisplayBuilder], Method Name = [getBitmapFromAssetsOrResourceName], replace method = [decodeStream]
[2024-07-05 17:40:26] Bitmap ----- Class Name = [com/onesignal/notifications/internal/display/impl/NotificationDisplayBuilder], Method Name = [getBitmapFromAssetsOrResourceName], replace method = [decodeStream]
[2024-07-05 17:40:26] Bitmap ----- Class Name = [com/onesignal/notifications/internal/display/impl/NotificationDisplayBuilder], Method Name = [getBitmapFromAssetsOrResourceName], replace method = [decodeResource]
[2024-07-05 17:40:26] Bitmap ----- Class Name = [com/onesignal/notifications/internal/display/impl/NotificationDisplayBuilder], Method Name = [getBitmapFromURL], replace method = [decodeStream]
[2024-07-05 17:40:26] Http HttpURLConnection ----- Class Name = [com/onesignal/notifications/internal/display/impl/NotificationDisplayer], Method Name = [getBitmapFromURL], replace method = [openConnection]
[2024-07-05 17:40:26] Bitmap ----- Class Name = [com/onesignal/notifications/internal/display/impl/NotificationDisplayer], Method Name = [getBitmapFromAssetsOrResourceName], replace method = [decodeStream]
[2024-07-05 17:40:26] Bitmap ----- Class Name = [com/onesignal/notifications/internal/display/impl/NotificationDisplayer], Method Name = [getBitmapFromAssetsOrResourceName], replace method = [decodeStream]
[2024-07-05 17:40:26] Bitmap ----- Class Name = [com/onesignal/notifications/internal/display/impl/NotificationDisplayer], Method Name = [getBitmapFromAssetsOrResourceName], replace method = [decodeResource]
[2024-07-05 17:40:26] Bitmap ----- Class Name = [com/onesignal/notifications/internal/display/impl/NotificationDisplayer], Method Name = [getBitmapFromURL], replace method = [decodeStream]
[2024-07-05 17:40:26] Sqlite ----- Class Name = [com/onesignal/core/internal/database/impl/OSDatabase], Method Name = [query], replace method = [query]
[2024-07-05 17:40:26] Sqlite ----- Class Name = [com/onesignal/core/internal/database/impl/OSDatabase], Method Name = [query], replace method = [query]
[2024-07-05 17:40:26] Sqlite ----- Class Name = [com/onesignal/core/internal/database/impl/OSDatabase], Method Name = [insert], replace method = [insert]
[2024-07-05 17:40:26] Sqlite ----- Class Name = [com/onesignal/core/internal/database/impl/OSDatabase], Method Name = [insertOrThrow], replace method = [insertOrThrow]
[2024-07-05 17:40:26] Sqlite ----- Class Name = [com/onesignal/core/internal/database/impl/OSDatabase], Method Name = [update], replace method = [update]
[2024-07-05 17:40:26] Sqlite ----- Class Name = [com/onesignal/core/internal/database/impl/OSDatabase], Method Name = [delete], replace method = [delete]
[2024-07-05 17:40:26] Sqlite ----- Class Name = [com/onesignal/core/internal/database/impl/OSDatabase], Method Name = [onCreate], replace method = [execSQL]
[2024-07-05 17:40:26] Sqlite ----- Class Name = [com/onesignal/core/internal/database/impl/OSDatabase], Method Name = [onCreate], replace method = [execSQL]
[2024-07-05 17:40:26] Sqlite ----- Class Name = [com/onesignal/core/internal/database/impl/OSDatabase], Method Name = [onCreate], replace method = [execSQL]
[2024-07-05 17:40:26] Sqlite ----- Class Name = [com/onesignal/core/internal/database/impl/OSDatabase], Method Name = [onCreate], replace method = [execSQL]
[2024-07-05 17:40:26] Sqlite ----- Class Name = [com/onesignal/core/internal/database/impl/OSDatabase], Method Name = [onCreate], replace method = [execSQL]
[2024-07-05 17:40:26] Sqlite ----- Class Name = [com/onesignal/core/internal/database/impl/OSDatabase], Method Name = [safeExecSQL], replace method = [execSQL]
